Na_multiplier,critical_length,slope
0.0,nan,-0.011596242286169007
0.1,nan,-0.011972831431402431
0.2,400,-0.012851629973664342
0.30000000000000004,nan,-0.01402890129263617
0.4,300,-0.013473039495498022
0.5,250,-0.0025677053244072784
0.6000000000000001,nan,0.010311135958932079
0.7000000000000001,nan,0.019045630826088993
0.8,nan,0.034359441288890166
0.9,400,0.052200384071690566
1.0,500,0.14580507748624372
