Ih,critical_length,slope
0.0,590,0.07240082443852866
0.1,570,0.09898724663281923
0.2,560,0.11330866050694
0.30000000000000004,550,0.12391867746540353
0.4,540,0.13084751923099563
0.5,540,0.13502177574558638
0.6000000000000001,540,0.1373868647571799
0.7000000000000001,530,0.14165873381773814
0.8,500,0.14379645289144133
0.9,530,0.1448687683718333
1.0,500,0.14580507748624372
